ticker,date,ebitda,earningsPerShare,profitMargin,beta,revenue,targetPrice
ANIK,2024-12-05,-8054000,-6.64,-0.59403,0.857,164168000,26.5
ANIP,2024-12-05,82125000,-0.47,-0.01277,0.71,555456000,78.4
ANIX,2024-12-05,,-0.39,,0.85,,8.5
ANL,2024-12-05,-63570000,-6.18,,,5000000,9.0
ANNX,2024-12-05,-124791000,-1.03,,1.23,,15.0
ANRO,2024-12-05,-62934000,-2.38,,,,11.524
ANSC,2024-12-05,,0.27,,,,
ANSS,2024-12-05,836108992,6.51,0.23008,1.111,2467742976,352.875
ANTX,2024-12-05,,-1.99,,-0.223,,2.66667
ANVS,2024-12-05,,-4.22,,,,34.8
ANY,2024-12-05,-7992000,-0.76,-0.69636,2.81,25026000,3.0
AON,2024-12-05,4295000064,11.69,0.16320999,0.909,14926000128,386.66666
AORT,2024-12-05,52612000,-0.03,-0.00221,1.749,384899008,33.16667
AOS,2024-12-05,809100032,3.79,0.14413,1.169,3893799936,82.189
AOSL,2024-12-05,41379000,-0.69,-0.0294,2.427,658528000,38.0
AOUT,2024-12-05,4455000,-0.81,-0.05269,0.384,199296992,11.25
AP,2024-12-05,29163000,-2.27,-0.09671,0.869,431528992,
APA,2024-12-05,5047000064,7.04,0.24824,3.246,8954999808,32.478
APAM,2024-12-05,343848992,3.6,0.23953,1.791,1063747968,44.625
APCX,2024-12-05,-11267000,-0.48,,0.66,462000,
APD,2024-12-05,4296600064,17.23,0.31636,0.826,12100599808,347.23334
APDN,2024-12-05,-13975210,-7.5,-2.1447701,0.452,3398049,
APEI,2024-12-05,53581000,0.53,0.02636,1.244,613252992,23.0
APG,2024-12-05,737000000,-1.74,0.030079998,1.82,6915999744,43.33333
APGE,2024-12-05,,-2.43,,,,92.28571
APH,2024-12-05,3586299904,1.75,0.15403,1.238,14232399872,76.25333
APLD,2024-12-05,15068000,-1.23,-0.74811,4.517,189956000,11.14286
APLM,2024-12-05,-53100000,-15.0,,1.212,2101000,
APLS,2024-12-05,-221507008,-2.03,-0.34969002,0.867,715216000,45.75
APLT,2024-12-05,-92284000,-1.42,,2.018,-212000,6.33333
APM,2024-12-05,-9598997,-0.62,,1.3,431378,
APO,2024-12-05,,9.47,0.18462,1.589,31670999040,169.70589
APOG,2024-12-05,198150000,4.74,0.07582,0.97,1375510016,83.0
APP,2024-12-05,1975993984,3.29,0.26874,1.862,4289730048,308.19547
APPF,2024-12-05,146314000,3.62,0.17262,0.828,762368000,267.01572
APPN,2024-12-05,-65098000,-1.21,-0.14878,1.568,595656000,40.4
APPS,2024-12-05,34727000,-2.96,-0.61173,2.595,491574016,2.33333
APRE,2024-12-05,-14176494,-2.8,,1.735,1275686,15.66667
APT,2024-12-05,4719000,0.37,0.06988,-0.734,59288000,
APTO,2024-12-05,-36155000,-2.92,,,,2.0
APTV,2024-12-05,3032999936,8.98,0.122889996,1.817,19725000704,76.47455
APVO,2024-12-05,-24207000,-415.99,,5.066,,296.0003
APWC,2024-12-05,11776500,0.18,0.00748,0.664,446624000,
APXI,2024-12-05,,0.11,,0.005,,
APYX,2024-12-05,-21674000,-0.82,-0.57857,1.209,49031000,2.83333
AQB,2024-12-05,-20994100,-19.06,,1.152,1258512,1.0
AQMS,2024-12-05,-20828000,-4.65,,1.018,25000,30.0
AQN,2024-12-05,956377984,0.54,-0.38546002,0.523,2614451968,5.4375
AQST,2024-12-05,-20038000,-0.45,-0.5975,2.816,58900000,10.0625
AQU,2024-12-05,,-0.33,,0.023,,
AR,2024-12-05,880545984,0.14,0.01053,3.378,4272369920,34.2381
ARAY,2024-12-05,4860000,-0.17,-0.03721,1.404,444204000,6.125
ARBB,2024-12-05,-35610740,-0.47,-0.94523,,58186648,
ARBE,2024-12-05,-47464000,-0.73,,0.026,1372000,3.5
ARC,2024-12-05,25070000,0.11,0.01611,1.117,289230016,
ARCB,2024-12-05,338510016,8.03,0.0454,1.474,4266908928,120.58333
ARCC,2024-12-05,,2.6,0.5371,1.054,2937999872,22.60714
ARCH,2024-12-05,397263008,9.59,0.06784,0.611,2645357056,165.0
ARCO,2024-12-05,484807008,0.69,0.03798,1.156,4492822016,13.0
ARCT,2024-12-05,-77007000,-2.33,-0.39054,2.64,160399008,79.46778
ARDT,2024-12-05,418792992,0.62,0.01612,,5705817088,22.6
ARDX,2024-12-05,-62151000,-0.32,-0.2882,0.914,251848992,10.77778
AREB,2024-12-05,-12289182,-35.55,-1.18007,1.429,15454870,
AREC,2024-12-05,-19460312,-0.25,-2.35651,0.165,5973044,4.0
AREN,2024-12-05,-12572000,-1.36,-0.5393,0.08,237836992,
ARES,2024-12-05,1295832064,2.19,0.12511,1.224,3679764992,174.38461
ARHS,2024-12-05,134928992,0.56,0.061880004,2.57,1268103936,11.5
ARIS,2024-12-05,185822000,0.81,0.06289,1.616,420960000,24.63636
ARKO,2024-12-05,244982000,0.16,0.0027,0.463,8973012992,7.9375
ARKR,2024-12-05,7283000,-2.72,-0.05312,1.021,184539008,
ARL,2024-12-05,8376000,-1.03,-0.32658002,0.602,51029000,
ARLO,2024-12-05,-23372000,-0.25,-0.04758,1.789,524407008,17.8
ARMK,2024-12-05,1142056960,0.99,0.01509,1.681,17400700928,43.69533
ARMN,2024-12-05,138424992,-0.03,-0.00342,,484511008,
ARMP,2024-12-05,-40911000,-1.15,,0.805,3719000,7.0
AROC,2024-12-05,507198016,0.91,0.13337,1.499,1090768000,26.25
AROW,2024-12-05,,1.96,0.24212,0.719,136138000,34.5
ARQ,2024-12-05,10635000,0.03,-0.0043599997,,110023000,10.0
ARQQ,2024-12-05,-61885000,-14.02,,1.172,740000,140.0
ARQT,2024-12-05,-179408000,-1.67,-1.4096899,1.185,138708000,19.0
ARRY,2024-12-05,142987008,-0.98,-0.095860004,1.613,982190016,10.42
ARTL,2024-12-05,,-2.87,,1.35,,5.33333
ARTNA,2024-12-05,46921000,1.95,0.18958999,0.198,105646000,52.0
ARTV,2024-12-05,-58574000,-2.48,,,2601000,21.25
ARTW,2024-12-05,898419,-0.11,-0.03306,0.4,25181640,
ARVN,2024-12-05,-352600000,-4.79,-1.91558,1.967,161100000,62.94737
ARW,2024-12-05,1213746944,8.98,0.01711,1.274,28489603072,125.16667
ARWR,2024-12-05,-529777984,-5.0,,0.934,19648000,47.15385
AS,2024-12-05,414000000,-0.07,-0.02786,,4638000128,23.85625
ASAN,2024-12-05,-261144000,-1.15,-0.37728,1.134,689297984,14.16118
ASB,2024-12-05,,1.2,0.19247,0.904,1007710016,27.44444
ASC,2024-12-05,176164992,3.55,0.36221,0.377,422624000,18.6
ASGN,2024-12-05,407600000,3.96,0.043709997,1.4,4188800000,97.83333
ASH,2024-12-05,335000000,3.95,0.07998,0.882,2112999936,95.7
ASIX,2024-12-05,138928992,1.44,0.02465,1.699,1570702976,37.5
ASLE,2024-12-05,17575000,-0.02,0.00121,0.227,344747008,7.33333
ASM,2024-12-05,7446000,0.02,0.03073,2.012,52026000,1.925
ASMB,2024-12-05,-50267000,-6.89,-2.12332,0.588,21481000,35.5
ASNS,2024-12-05,-5728000,-1.27,-0.80778,2.136,6019000,
ASO,2024-12-05,749851008,6.44,0.07979,1.369,6105804800,62.16667
ASPI,2024-12-05,-20954916,-0.59,,3.917,2295679,6.5
ASPN,2024-12-05,69669000,0.02,0.00361,2.212,413830016,30.0
ASPS,2024-12-05,6149000,-1.35,-0.26108,0.939,153278000,10.0
ASRT,2024-12-05,10308000,-0.44,-0.54459,0.835,125763000,3.03
ASRV,2024-12-05,,-0.16,-0.057290003,0.721,45540000,
ASST,2024-12-05,,-1.92,,,358798,
ASTC,2024-12-05,-12549000,-7.34,,-0.146,1664000,
ASTE,2024-12-05,101000000,-0.09,-0.00148,1.258,1283299968,42.5
ASTH,2024-12-05,109463000,1.3,0.036259998,1.238,1722366976,67.11111
ASTI,2024-12-05,-8405032,2175.0,,2.412,266077,
ASTL,2024-12-05,-28500000,-1.03,-0.06325,1.493,2486799872,
ASTS,2024-12-05,-159378000,-2.26,,1.635,1400000,35.94
ASUR,2024-12-05,9084000,-0.48,-0.10542,0.525,115264000,13.16667
ASYS,2024-12-05,-102000,-1.41,-0.19048999,1.446,104809000,6.0
ATAI,2024-12-05,-102440000,-0.8,,,331000,8.0
ATCH,2024-12-05,,-7.17,,-0.423,,
ATEC,2024-12-05,-62604000,-1.26,-0.31056,1.314,572739008,16.875
