ticker,date,total_revenue,cost_of_revenue,gross_profit,operating_expense,operating_income,net_non_operating_interest_income_expense,other_income_expense,pretax_income,tax_provision,net_income_common_stockholders,diluted_ni_available_to_com_stockholders,basic_eps,diluted_eps,basic_average_shares,diluted_average_shares,total_operating_income_as_reported,total_expenses,net_income_from_continuing_&_discontinued_operation,normalized_income,interest_income,interest_expense,net_interest_income,ebit,ebitda,reconciled_cost_of_revenue,reconciled_depreciation,net_income_from_continuing_operation_net_minority_interest,normalized_ebitda,tax_rate_for_calcs,total_unusual_items_excluding_goodwill,total_unusual_items,tax_effect_of_unusual_items,rent_expense_supplemental,average_dilution_earnings,credit_losses_provision,non_interest_expense,special_income_charges,interest_income_after_provision_for_loan_loss,total_money_market_investments,earnings_from_equity_interest_net_of_tax,income_from_associates_&_other_participating_interests,other_non_operating_income_expenses
FAMI,TTM,110364.887,106078.132,4286.755,806.172,3480.583,-1598.564,975.287,2857.306,313.493,2543.813,2543.813,5.60,2.40,453.615,1056.609,2041.375,106884.304,2543.813,1766.1604,743.858,650.813,-1598.564,3508.119,3797.669,106078.132,289.55,2543.813,2923.902,0.0001,873.767,873.767,96.1144,,,,,,,,,,
FANG,TTM,9583000.0,4845000.0,4738000.0,276000.0,4462000.0,-146000.0,55000.0,4371000.0,949000.0,3224000.0,3224000.0,17.33,17.33,185138.75,185138.75,4189000.0,5121000.0,3224000.0,3254532.6,,146000.0,-146000.0,4517000.0,6679000.0,4845000.0,2162000.0,3224000.0,6718000.0,0.0,-39000.0,-39000.0,-8467.4,,,,,,,,,,
FARM,TTM,341094.0,207201.0,133893.0,153020.0,-19127.0,-7835.0,23101.0,-3861.0,14.0,-3875.0,-3875.0,-2.35,-2.35,20579.621,20732.972,-2250.0,360221.0,-3875.0,-17605.2,,7835.0,-7835.0,3974.0,15562.0,207201.0,11588.0,-3875.0,-1818.0,0.0002,17380.0,17380.0,3649.8,,,,,,,,,,
FARO,TTM,347732.0,163374.0,184358.0,183519.0,839.0,-3434.0,-2339.0,-4934.0,1558.0,-6492.0,-6492.0,-0.33,-0.33,19156.32,19156.32,-40.0,346893.0,-6492.0,-5797.59,,3434.0,-3434.0,-1500.0,13858.0,163374.0,15358.0,-6492.0,14737.0,0.0,-879.0,-879.0,-184.59,,,,,,,,,,
FAST,TTM,7480100.0,4097000.0,3383100.0,1864100.0,1519000.0,-1000.0,,1518000.0,363100.0,1154900.0,1154900.0,2.01,2.01,572326.47,573956.99,1519000.0,5961100.0,1154900.0,1154900.0,6500.0,7500.0,-1000.0,1525500.0,1699700.0,4097000.0,174200.0,1154900.0,1699700.0,0.0,,,,,,,,,,,,,
FAT,TTM,606008.0,404552.0,201456.0,213050.0,-11594.0,-136914.0,-3445.0,-151926.0,-3259.0,-156235.0,-156235.0,-8.07,-8.07,16826.91,16826.91,-16061.0,617602.0,-148667.0,-145006.25,,136914.0,-136914.0,-15012.0,26078.0,404552.0,41090.0,-148667.0,29819.0,0.0,-3741.0,-3741.0,-80.25,,,,,,,,,,
FATBB,TTM,606008.0,404552.0,201456.0,213050.0,-11594.0,-136914.0,-3445.0,-151926.0,-3259.0,-156235.0,-156235.0,-8.07,-8.07,16826.908,16826.908,-16061.0,617602.0,-148667.0,-145006.2491,,136914.0,-136914.0,-15012.0,26078.0,404552.0,41090.0,-148667.0,29819.0,0.0,-3741.0,-3741.0,-80.2491,,,,,,,,,,
FATE,TTM,12317.0,,,207822.0,-195505.0,18087.0,1695.0,-175723.0,,-175723.0,-175723.0,-1.70,-1.70,103940.042,103940.042,-195505.0,207822.0,-175723.0,-178238.0,18087.0,,18087.0,-195505.0,-176338.0,,19167.0,-175723.0,-178853.0,,2515.0,2515.0,,,,,,,,,,,
FBIN,TTM,4666100.0,2612800.0,2053300.0,1307000.0,746300.0,-107000.0,-63200.0,576100.0,128000.0,448100.0,448100.0,3.57,3.55,125400.0,126275.0,693500.0,3919800.0,448100.0,485279.62,,121200.0,-107000.0,697300.0,902000.0,2481400.0,204700.0,448100.0,949800.0,0.0,-47800.0,-47800.0,-10620.38,,,,,,,,,,
FBIO,TTM,82624.0,25801.0,56823.0,155039.0,-98216.0,-6499.0,-2318.0,-107033.0,,-49273.0,-49273.0,-27.73,-27.73,5158.875,5158.875,-97722.0,180840.0,-40689.0,-42213.0,2819.0,6877.0,-6499.0,-100156.0,-93313.0,25801.0,6843.0,-40689.0,-94837.0,,1524.0,1524.0,,,,,,,,,,,
