ticker,date,total_revenue,cost_of_revenue,gross_profit,operating_expense,operating_income,net_non_operating_interest_income_expense,other_income_expense,pretax_income,tax_provision,net_income_common_stockholders,diluted_ni_available_to_com_stockholders,basic_eps,diluted_eps,basic_average_shares,diluted_average_shares,total_operating_income_as_reported,total_expenses,net_income_from_continuing_&_discontinued_operation,normalized_income,interest_income,interest_expense,net_interest_income,ebit,ebitda,reconciled_cost_of_revenue,reconciled_depreciation,net_income_from_continuing_operation_net_minority_interest,normalized_ebitda,tax_rate_for_calcs,total_unusual_items_excluding_goodwill,total_unusual_items,tax_effect_of_unusual_items,rent_expense_supplemental,average_dilution_earnings,credit_losses_provision,non_interest_expense,special_income_charges,interest_income_after_provision_for_loan_loss,total_money_market_investments,earnings_from_equity_interest_net_of_tax,income_from_associates_&_other_participating_interests
AEYE,TTM,32261,7010,25251,28262,-3011,-441,,-3452,,-3452,-3452,-0.29,-0.29,11775,11775,-3011,35272,-3452,-3452,,,-441,-3011,-382,7010,2629,-3452,-382,,,,,,,,,,,,,
AFBI,TTM,30900,,,,,,,7309,1700,5609,5609,0.88,0.85,6412.78,6541.43,,,5609,5505.40,,,,,,,671,5609,,0,135,135,31.40,,,-164,23427,,28275,2673,,
AFCG,TTM,51374.16,,,,,,,16944.33,1760.93,15183.40,15183.40,0.73,0.73,20364.26,20364.51,,,15183.40,15183.40,,,,,,,,15183.40,,0,,,,,,-11777.91,22651.91,,52610.12,,,
AFG,TTM,8216000,,,,,,,1139000,244000,895000,895000,10.67,10.66,83800,83900,,7077000,895000,895000,,76000,,1215000,,,78000,895000,,0,,,,,,,,,,,,
AFL,TTM,17434000,,,,,,,4572000,763000,3809000,3809000,6.76,6.73,569747.50,572342.75,,12862000,3809000,3809000,,194000,,4766000,,,,3809000,,0,,,,,,,,,,,,
AFMD,TTM,2684,,,87113,-84429,238,5008,-79183,3,-79186,-79186,-5.26,-5.26,15079.2260,15079.2260,-80846,87113,-79186,-81055.9300,276,1537,238,-77646,-73954,,3692,-79186,-76321,0.0002,2367,2367,497.0700,,,,,,,,,
AFRI,TTM,305476,274878,30598,29465,1133,-13979,232,-12614,-106,-12676,-12676,-0.47,-0.47,26879.16,26879.16,1133,304343,-12676,-12905.68,37,14016,-13979,1402,7484,274878,6082,-12676,7252,0,232,232,2.32,,,,,,,,,
AFRM,TTM,2524931,865906,1659025,1818733,-159708,-374467,91068,-443107,3089,-446196,-446196,-1.41,-1.41,313455.85,313455.85,-539023,2684639,-446196,-442366.08,,374467,-374467,-68640,106993,865906,175633,-446196,111841,0,-4848,-4848,-1018.08,,,,,,,,,
AFYA,TTM,3067474,1162257,1905217,1025284,879933,-365510,73154,587577,16972,553012,553012,6.15,6.09,89904.80,93911.27,881051,2187541,553012,491331.61,39343,340907,-365510,928484,1243038,1162257,314554,553012,1179523,0,63515,63515,1834.61,,,,,,,,,
AG,TTM,527967,466403,61564,84496,-22932,-12091,-14746,-49769,28407,-78176,-78176,-0.26,-0.26,291842.81,291842.81,-26991,550899,-78176,-65641.90,6489,15874,-12091,-33895,86561,347428,120456,-78176,101307,0,-14746,-14746,-2211.90,,,,,,,,,
AGAE,TTM,8212.4410,5598.3640,2614.0770,13128.5210,-10514.4440,3408.6690,383.0170,-6722.7580,,-6512.7240,-6512.7240,-0.16,-0.16,38956.1970,38956.1970,-10514.4440,18726.8850,-6512.7240,-6864.1580,,,3408.6690,-10514.4440,-9025.0740,5598.3670,1489.3670,-6512.7240,-9376.5080,,351.4340,351.4340,,,,,,,,,,
AGCO,TTM,12575300,9382100,3193200,2100900,1092300,-58500,-870600,163200,46500,169900,169900,2.28,2.26,74575,74675,539800,11483000,169900,564978.13,,122700,-58500,285900,605600,9131200,319700,169900,1158100,0,-552500,-552500,-157421.88,,,,,,,,50300,
AGEN,TTM,159630,199648,-40018,73758,-113776,-124024,6435,-231365,,-223671,-223671,-11.14,-11.14,19893.4500,19893.4500,-113618,273406,-223458,-223616,,124024,-124024,-107341,-92551,199648,14790,-223458,-92709,,158,158,,,,,,,,,,
AGFY,TTM,11590,6608,4982,17279,-12297,-782,12829,-250,,-253,-253,0.63,0.60,8261.45,15720.24,-4273,23887,-253,-11264,,,-782,-12297,-10772,6608,1525,-253,-21783,,11011,11011,,,,,,,,,,
AGI,TTM,1225700,716900,508800,90500,418300,-6000,-16100,396200,152400,243800,243800,0.61,0.60,402242.50,409051,475400,807400,243800,240600.20,,6000,-6000,402200,612900,716900,210700,243800,607700,0,5200,5200,2000.20,,,,,,,,,
AGIO,TTM,32871,3491,29380,436357,-406977,38692,1095713,727428,,674308,674308,-6.50,-6.50,56230.09,56230.09,-406977,439848,674308,-186109.44,38692,,38692,-406977,-401288,3491,5689,674308,-1490424,0,1089136,1089136,228718.56,,,,,,,,,
AGL,TTM,5594117,5645889,-51772,296557,-348329,-6596,43900,-311025,-39,-384794,-384794,-0.94,-0.94,407812.2500,407812.2500,-348329,5942446,-384794,-310985,,6596,-6596,-304429,-281313,5645477,23116,-310985,-281313,0,,,,,,,,,,,,
AGM,TTM,358820,,,,,,,250124,51826,170408,170408,15.70,15.55,10862,10970,,,198298,198298,,,,,,,,198298,,0,,,,,,-7043,101653,,335625,,,
AGM-A,TTM,358820,,,,,,,250124,51826,170408,170408,15.70,15.55,10862,10970,,,198298,198298,,,,,,,,198298,,0,,,,,,-7043,101653,,335625,,,
AGMH,TTM,92907.1720,88278.1400,4629.0320,13870.6340,-9241.6020,,-381.7170,-9623.3190,-2184.0390,-7439.2800,-7439.2800,-0.31,-0.31,24254.8420,24254.8420,-9241.6020,102148.7740,-7439.2800,-7439.2800,,,,-9241.6020,-8767.8810,88278.1400,473.7210,-7439.2800,-8767.8810,0.0002,,,,,,,,,,,,
AGO,TTM,846000,,,,,,,642000,-90000,714000,714000,12.46,12.21,56300,56300,,204000,720000,513020,,93000,,735000,,,,720000,,0,262000,262000,55020,,,,,,,,,
AGR,TTM,8705000,5462000,3243000,1931000,1312000,-487000,225000,1050000,60000,1122000,1122000,2.90,2.90,386953.10,387314.73,1312000,7393000,1122000,1044685.71,,487000,-487000,1537000,2839000,5385000,1302000,1122000,2757000,0,82000,82000,4685.71,,,,,,,,,
AGRI,TTM,57.5960,47.3080,10.2880,5941.1480,-5930.8600,-6186.1020,-2929.0220,-15045.9840,,-15045.9840,-15045.9840,-1.71,-1.71,12624.7930,12624.7930,-7894.1640,5988.4560,-15045.9840,-12121.0400,,6186.1020,-6186.1020,-8859.8820,-8190.6980,47.3080,669.1840,-15045.9840,-5265.7540,,-2924.9440,-2924.9440,,199.3190,,,,,,,,
AGRO,TTM,1322932,931340,391592,213580,178012,-19054,51870,210828,-3980,215367,215367,2.03,2.02,105371.24,105974.59,211702,1144920,215367,180942.72,8549,67173,-19054,278001,579731,660932,301730,215367,527573,0,52158,52158,17733.72,2577,,,,,,,,
AGS,TTM,376241,112248,263993,198942,65051,-54584,-3013,7454,2758,4659,4659,0.12,0.11,38961.50,39040.50,64146,311190,4696,6296.82,2541,57125,-54584,64579,149296,106024,84717,4696,151837,0,-2541,-2541,-940.18,,,,,,,,,
AGX,TTM,713006,621089,91917,47137,44780,,19384,64164,20602,43562,43562,3.27,3.19,13326.50,13639.50,44780,668226,43562,43562,,,,44780,47092,621089,2312,43562,47092,0,,,,,,,,,,,,
AGYS,TTM,254579,95395,159184,137681,21503,5174,-214,26463,-69109,95286,95286,3.67,3.52,26846,27869,21106,233076,95572,95885.63,5632,458,5174,26921,32181,95395,5260,95572,32578,0,-397,-397,-83.37,,,,,,,,,
AHCO,TTM,3263771,2734864,528907,252447,276460,-130425,-352413,-206378,3820,-217758,-220354,-1.63,-1.67,133355,134597.25,-51739,2987311,-214343,43257.04,,130425,-130425,-75953,291208,2413217,367161,-214343,617284,0,-326076,-326076,-68475.96,70519,-2596,,,,,,,
AHR,TTM,1949841,1565808,384033,281104,102929,-150224,10948,-36347,1136,-35327,-35327,-0.52,-0.52,91739.05,91739.05,,1846912,-35327,-40157.06,,150224,-150224,113877,339831,1521118,225954,-35327,333717,0,6114,6114,1283.94,54677,,,,,,,,
AHT,TTM,1283276,997285,285991,194597,91394,-353679,293621,31336,2375,11834,11834,-0.16,-2.11,37755.50,93853.50,341860,1191882,28856,-243539.69,7783,361462,-353679,392798,563327,997468,170346,28856,268593,0,294734,294734,22338.31,,,,,,,,,
AI,TTM,325433,135256,190177,507012,-316835,39960,-374,-277249,916,-278165,-278165,-2.28,-2.28,121686.50,121686.50,-316835,642268,-278165,-278165,39960,,39960,-316835,-304053,135256,12782,-278165,-304053,0,,,,,,,,,,,,
AIEV,TTM,,,,1745.2410,-1745.2410,,-0.5180,-1745.7590,,-1745.7590,-1745.7590,-0.04,-0.04,46662.0910,46662.0910,,1745.2410,-1745.7590,-1745.2420,,,,-1745.2410,-1712.4750,,32.7660,-1745.7590,-1711.9580,,-0.5170,-0.5170,,,,,,,,,,
AIFF,TTM,479,,,2750,-2271,-61,4,-2328,,-2328,-2328,-0.30,-0.30,7870.2510,7870.2510,-2269,2750,-2328,-2330,,61,-61,-2267,-2267,,,-2328,-2269,,2,2,,102,,,,,,,,
AIG,TTM,45903000,,,,,,,3794000,42000,-2238000,-2238000,-3.35,-3.36,671589.96,677474.59,,42109000,-2209000,3145804.43,,1098000,,4892000,,,3928000,3843000,,0,705000,705000,7804.43,,,,,,,,,
AIHS,TTM,5842.1140,4542.9480,1299.1660,6028.8290,-4729.6630,-48.4190,191.4460,-4586.6360,-10.9510,-3914.5660,-3914.5660,-0.42,-0.42,9519.8520,9519.8520,-4729.6630,10571.7770,-3914.5660,-3795.3403,,48.4190,-48.4190,-4538.2170,-3061.7890,4542.9480,1476.4280,-3914.5660,-2942.2780,0,-119.5110,-119.5110,-0.2853,,,,,,,,,
AILE,TTM,360772,112495,248277,235973,12304,-6287,-3761,2256,-5778,8034,8034,0.06,0.06,134970.1140,134970.1140,12304,348468,8034,8549.0800,,6287,-6287,8543,8633,112495,90,8034,9285,0.0002,-652,-652,-136.9200,,,,,,,,,
AIM,TTM,201,58,143,31732,-31589,2962,582,-28045,,-28045,-28045,-0.57,-0.57,49963.5440,49963.5440,-31589,31790,-28045,-27542,3213,,2962,-30748,-30518,58,230,-28045,-30015,,-503,-503,,,,,,,,,,
AIMD,TTM,65.1220,271.3070,-206.1850,14339.6810,-14545.8660,-262.0630,-601.4500,-15409.3790,0.8000,-15410.1790,-15410.1790,-3.21,-3.21,5165.3500,5165.3500,-14545.8660,14610.9880,-15410.1790,-15410.1790,,262.0630,-262.0630,-15147.3160,-10300.8370,271.3070,4846.4790,-15410.1790,-10300.8370,0.0002,,,,,,,,,,,,
AIN,TTM,1267294,835980,431314,275841,155473,-12441,-11109,131923,31069,100394,100394,3.21,3.20,31224.25,31333.75,148834,1111821,100394,108989.94,,18798,-12441,150721,239679,835980,88958,100394,250923,0,-11244,-11244,-2648.06,,,,,,,,,
AIOT,TTM,,,,,,,,,,,,-0.49,-0.49,107578,107578,,,,,,,,,,,,,,,-283,-283,,,,,,,,,,
AIP,TTM,54739,5835,48904,82647,-33743,-274,3493,-30524,2477,-35975,-35975,-0.94,-0.94,38079.91,38079.91,-33743,88482,-35975,-35975,,274,-274,-30250,-26947,5835,3303,-35975,-26947,0,,,,,,,,,,,-2974,
AIR,TTM,2430900,1972700,458200,313900,144300,-53900,300,90700,25800,64200,64200,1.82,1.81,35225,35525,147300,2286600,64900,66474.20,2300,56200,-53900,146900,193900,1972700,47000,64900,196100,0,-2200,-2200,-625.80,,,,,,,,,
AIRE,TTM,321.0950,216.3450,104.7500,7461.1210,-7356.3710,-152.7320,5173.1810,-2335.9220,,-2336.2980,-2336.2980,-0.05,-0.05,42522.0910,42522.0910,-7356.3710,7677.4660,-2336.2980,-7839.0720,0.1640,152.8960,-152.7320,-2183.0260,-2069.7860,216.3450,113.2400,-2336.2980,-7572.5600,,5502.7740,5502.7740,,,,,,,,,,
AIRG,TTM,53181,33291,19890,32422,-12532,128,13,-12391,-58,-12333,-12333,-1.17,-1.17,10590,10590,-12532,65713,-12333,-12333,128,,128,-12532,-8829,33291,3703,-12333,-8829,0,,,,,,,,,,,,
AIRI,TTM,53395,45467,7928,7644,284,-1900,90,-1526,,-1526,-1526,-0.46,-0.46,3306.53,3306.53,284,53111,-1526,-1526,,1900,-1900,374,3229,45467,2855,-1526,3229,,,,,,,,,,,,,
AIRJ,TTM,,,,11390.66,-11390.66,11.54,,-11379.12,,-11379.12,-11379.12,-0.21,-0.21,53061.86,53061.86,-11390.66,11390.66,-11379.12,-11379.12,11.54,,11.54,-11390.66,-11365.10,,25.56,-11379.12,-11365.10,,,,,,,,,,,,,
AIRS,TTM,193025,72912,120113,111729,8384,-5906,6,2484,5902,-3418,-3418,-0.06,-0.06,57223.88,57223.88,8390,184641,-3418,-3422.74,,5906,-5906,8390,19483,72912,11093,-3418,19477,0,6,6,1.26,,,,,,,,,
AIRT,TTM,281814,223865,57949,56707,1242,-7054,1776,-4036,589,-6623,-6623,-2.35,-2.35,2801.75,2801.75,29,280572,-6623,-5664.73,,6822,-7054,2786,5654,223865,2868,-6623,6867,0,-1213,-1213,-254.73,,,,,,,,,
AISP,TTM,23567.0150,13145.9800,10421.0350,12700.9340,-2279.8990,-490.0040,10454.0180,7684.1150,,7684.1150,7684.1150,0.82,0.42,13795.1510,20514.4380,-2279.8990,25846.9140,7684.1150,-2967.7190,25.5860,490.0040,-490.0040,8174.1190,8837.9970,13145.9800,663.8780,7684.1150,-1813.8370,,10651.8340,10651.8340,,,,,,,,,,
AIT,TTM,4483162,3146509,1336653,848452,488201,-884,7964,495281,111282,383999,383999,9.96,9.80,38596.50,39165.50,488315,3994961,383999,377943.01,,34858,-884,511166,563934,3146509,52768,383999,556123,0,7811,7811,1755.01,,,,,,,,,
AITR,TTM,,,,681.46,-681.46,,,1019.89,,1019.89,1019.89,0.13,0.13,7837.75,7837.75,,681.46,1019.89,-324.18,,,,-681.46,-681.46,,,1019.89,-2382.81,0,1701.35,1701.35,357.28,,,,,,,,,
AIZ,TTM,11755800,,,,,,,903900,162500,741400,741400,14.10,14.00,52570.11,52943.44,,10851900,741400,741400,,107000,,1010900,,,214800,741400,,0,,,,,,,,,,,,
AJG,TTM,11270800,6553200,4717600,2584600,2133000,-357600,-316000,1459400,286800,1172200,1172200,5.35,5.24,217900,222375,,9137800,1172200,1426099.96,,357600,-357600,1755700,2574700,6553200,819000,1172200,2890700,0,-316000,-316000,-62100.04,,,,,,,,,
AKA,TTM,555516,249449,306067,318737,-12670,-10427,-69429,-92526,2961,-95487,-95487,-8.95,-8.95,10583.19,10583.19,-81194,568186,-95487,-41353.04,,10427,-10427,-82099,-64551,249449,17548,-95487,3973,0,-68524,-68524,-14390.04,,,,,,,,,
AKAM,TTM,3927051,1574103,2352948,1667897,685051,64344,-18663,730732,103394,628813,628813,4.14,4.03,151558,155763,675629,3242000,628813,636901.85,89862,23956,64344,754688,1365614,1106145,610926,628813,1375036,0,-9422,-9422,-1333.15,,,,,,,,,
AKAN,TTM,2160.0520,2048.6030,111.4490,10162.8220,-10051.3730,-255.6170,-21968.0800,-32275.0700,,-32275.0700,-32275.0700,-7.16,-7.16,4505.2630,4505.2630,-10051.3730,12211.4250,-32275.0700,-10299.9350,0.0390,255.6560,-255.6170,-32019.4140,-27735.6830,2048.6030,4283.7310,-32275.0700,-5760.5480,,-21975.1350,-21975.1350,,,,,,,,,,
AKBA,TTM,174497,65327,109170,144265,-35095,-7475,2128,-40442,,-40442,-40442,-0.21,-0.21,198231.1520,198231.1520,-35322,209592,-40442,-41899,3319,7475,-7475,-32967,4629,65327,37596,-40442,3172,,1457,1457,,,,,,,,,,
AKRO,TTM,,,,269271,-269271,32049,,-237222,,-237222,-237222,-3.78,-3.78,63425.18,63425.18,-269271,269271,-237222,-237222,36414,4365,32049,-232857,-232852,,5,-237222,-232852,,,,,,,,,,,,,
AKTS,TTM,27384,28073,-689,65873,-66562,-2658,-98724,-167944,6,-167950,-167950,-1.00,-1.00,77062.3740,77062.3740,-109991,93946,-167950,-69226,,2658,-2658,-165286,-152076,28073,13210,-167950,-53352,,-98724,-98724,,,,,,,,,,
AKYA,TTM,93216,39555,53661,101806,-48145,-6158,-5945,-60248,103,-60351,-60351,-1.17,-1.17,49341.9780,49341.9780,-53659,141361,-60351,-55994.9400,3592,9750,-6158,-50498,-41839,39555,8659,-60351,-36325,0.0002,-5514,-5514,-1157.9400,,,,,,,,,
AL,TTM,2737330,1866533,870797,223707,647090,-54411,,659701,123867,490151,490151,4.41,4.39,111238.04,111752.46,,2090240,535834,481396.21,,54411,-54411,714112,1836599,1866533,1122487,535834,1769577,0,67022,67022,12584.21,,,,,,,,,
ALAB,TTM,305708,68432,237276,344466,-107190,25404,,-81786,12023,-93809,-93809,-0.59,-0.59,158561,158561,-107190,412898,-93809,-93809,25404,,25404,-107190,-104470,68432,2720,-93809,-104470,0,,,,,,,,,,,,
ALB,TTM,6501978,7281704,-779726,774951,-1554677,-155302,-1051524,-2761503,195350,-1967381,-1967381,-16.76,-16.76,117467.75,117547,-2630813,8056655,-1872422,-1022274.56,,155302,-155302,-2606201,-2036526,7281704,569675,-1872422,-960390,0,-1076136,-1076136,-225988.56,,,,,,,,1132973,
ALBT,TTM,1295.0860,1072.2590,222.8270,4693.1650,-4470.3380,-2275.8660,-7793.5440,-14539.7480,,-14539.7480,-14539.7480,-1.34,-1.34,11012.2080,11012.2080,-13279.4130,5765.4240,-14539.7480,-15590.6560,,2275.8660,-2275.8660,-12263.8820,-11970.8790,1072.2590,293.0030,-14539.7480,-13021.7870,,1050.9080,1050.9080,,,,,,,,,,
ALC,TTM,9636000,4301000,5335000,4148000,1187000,-114000,,1021000,-81000,1102000,1102000,2.23,2.22,493650,496900,1187000,8449000,1102000,1149580,,189000,-114000,1210000,2439000,4301000,1229000,1102000,2491000,0,-52000,-52000,-4420,,,,,,,,,
ALCE,TTM,16249,4886,11363,17669,-6306,-18971,-36636,-61912,15,-75973,-75973,-0.93,-0.93,81826.6640,81826.6640,-11806,22555,-75973,-34427.8900,,18971,-18971,-42941,-39940,4886,3001,-61927,-5131,0.0002,-34809,-34809,-7309.8900,,,,,,,,,
ALCO,TTM,46388,82015,-35627,10571,-46198,-3786,85617,35633,10216,26037,26037,3.41,3.41,7617.75,7617.75,-46198,92586,26037,-35064.95,403,4189,-3786,39822,54941,82015,15119,26037,-30720,0,85661,85661,24559.05,,,,,,,,,
ALCY,TTM,,,,842.08,-842.08,,6294.90,5452.82,,5452.82,5452.82,0.40,0.40,3560.26,14633.09,-842.08,842.08,5452.82,479.85,,,,-842.08,-842.08,,,5452.82,-7136.98,0,6294.90,6294.90,1321.93,,,,,,,,,
ALDX,TTM,,,,43049.8200,-43049.8200,5180.2930,,-37869.5270,,-37869.5270,-37869.5270,-0.64,-0.64,59254.5680,59254.5680,-43049.8200,43049.8200,-37869.5270,-37869.5270,7209.4280,2029.1350,5180.2930,-35840.3920,-35586.6610,,253.7310,-37869.5270,-35586.6610,,,,,,,,,,,,,
ALE,TTM,1567700,1072800,494900,329800,165100,-75200,46300,136200,15800,180200,180200,3.13,3.12,57600,57700,165100,1402600,180200,175514.83,5500,80700,-75200,216900,489100,1066000,272200,180200,483800,0,5300,5300,614.83,,,,,,,,,
ALEC,TTM,61508,,,246709,-185201,,28538,-156663,1746,-158409,-158409,-1.71,-1.71,93103.59,93103.59,-185201,246709,-158409,-158409,,,,-185201,-176180,,9021,-158409,-176180,0,,,,,,,,,,,,
ALG,TTM,1660732,1231112,429620,254455,175165,-21425,1668,155408,36036,119372,119372,9.98,9.93,11956.75,12026,175165,1485567,119372,119372,2237,23662,-21425,179070,231363,1195048,52293,119372,231363,0,,,,,,,,,,,,
ALGM,TTM,849875,432366,417509,358271,59238,-22601,-42671,-6034,18864,-25120,-25120,-0.14,-0.14,192128.20,192808.75,46020,790637,-25120,8775.74,2365,24966,-22601,18932,93416,432366,74484,-25120,136322,0,-42906,-42906,-9010.26,,,,,,,,,
ALGN,TTM,3960519,1188777,2771742,2092209,679533,16674,-55145,641062,199493,441569,441569,5.86,5.86,75196.75,75293,635024,3280986,441569,472227.18,16674,,16674,679533,820170,1188777,140637,441569,864679,0,-44509,-44509,-13850.82,,,,,,,,,
ALGS,TTM,5997,,,100585,-94588,-109,,-76679,274,-76953,-76953,-7.25,-7.25,5968.24,5968.24,-94588,100585,-76953,-76953,-109,,-109,-94588,-91862,,2726,-76953,-91862,0,,,,,,,,,,,,
ALGT,TTM,2495886,2136420,359466,276032,83434,-62709,-49271,-28546,-2582,-26373,-26360,-1.50,-1.52,17887.25,17935.75,34615,2412452,-25964,18439.30,45638,108347,-62709,79801,331623,2136420,251822,-25964,380442,0,-48819,-48819,-4415.70,23628,,,,,,,,
ALHC,TTM,2467707,2209736,257971,378894,-120923,-23539,214,-144248,-10,-144153,-144153,-0.76,-0.76,189912.04,189912.04,-120923,2588630,-144153,-144153,,23539,-23539,-120709,-94594,2209532,26115,-144153,-94594,0,,,,,,,,,,,,
ALIT,TTM,3360000,2245000,1115000,1084000,31000,-129000,-231000,-329000,2000,-301000,-302000,-0.59,-0.59,519470,519747.29,-117000,3329000,-301000,-242420,,129000,-129000,-200000,232000,2151000,432000,-323000,334000,0,-102000,-102000,-21420,,,,,,,,,
ALK,TTM,10754000,8841000,1913000,1093000,820000,-34000,-316000,470000,148000,322000,322000,2.55,2.51,126467.50,128154.50,529000,9934000,322000,524791.49,87000,121000,-34000,591000,1105000,8841000,514000,322000,1401000,0,-296000,-296000,-93208.51,899000,,,,,,,,
ALKS,TTM,1505121,253341,1251780,939201,312579,16815,2783,332177,-54776,333346,333346,2.00,1.98,166635.50,169141.25,312579,1192542,333346,386953,40799,23984,16815,356161,396388,223197,40227,386953,396388,0,,,,,,,,,,,,
ALKT,TTM,315562,132193,183369,232230,-48861,3566,-534,-45829,76,-45905,-45905,-0.47,-0.47,97597.11,97597.11,-49099,364423,-45905,-45483.14,5763,2197,3566,-43632,-32988,122984,10644,-45905,-32454,0,-534,-534,-112.14,,,,,,,,,
ALL,TTM,62432000,,,,,,,5139000,943000,4111000,4111000,15.60,15.47,263625,266100,,57293000,4228000,4292503.60,,406000,,5545000,,,569000,4228000,,0,-79000,-79000,-14496.40,,,,,,,,,
ALLE,TTM,3724000,2086900,1637100,873800,763300,-79400,-10500,673400,101400,572000,572000,6.54,6.50,87450,87925,755800,2960700,572000,579559.85,20300,99700,-79400,773100,890300,2086900,117200,572000,899200,0,-8900,-8900,-1340.15,,,,,,,,,
ALLK,TTM,,,,159088,-159088,7728,-27385,-178745,,-178745,-178745,-2.03,-2.03,88322,88322,-186435,159088,-178745,-151398,7728,,7728,-159088,-154723,,4365,-178745,-127376,,-27347,-27347,,,,,,,,,,
ALLO,TTM,43,,,268899,-268856,23291,-37864,-283429,,-283429,-283429,-1.55,-1.55,184256.1140,184256.1140,-297818,268899,-283429,-254467,23391,,23291,-270556,-256673,,13883,-283429,-227711,,-28962,-28962,,,,,,,,,,
ALLR,TTM,,,,16916,-16916,-724,6078,-11562,79,-12823,-12823,1.13k,1.13k,3915.5330,3915.5330,-16916,16916,-11641,-16909.5100,68,792,-724,-10770,-10749,,21,-11641,-17418,0.0002,6669,6669,1400.4900,,,,,,,,,
ALLT,TTM,91031,38887,52144,89830,-37686,2251,,-35221,1355,-36576,-36576,-0.97,-0.97,38400.5400,38400.5400,-37686,128717,-36576,-36740.7800,2323,,2251,-34399,-26791,38887,7608,-36576,-27005,0.0002,214,214,49.2200,,,,,,,,,
ALLY,TTM,8947000,,,,,,,725000,-160000,774000,774000,2.53,2.49,306152.50,309023.75,,,884000,1002710,,,,,,,1254000,885000,,0,-149000,-149000,-31290,,,-2196000,5890000,,4540000,69000,,13000
ALMS,TTM,,,,187624,-187624,4641,-6051,-189034,,-189034,-189034,-3.48,-3.48,54344.73,54344.73,-187624,187624,-189034,-183077,4641,,4641,-187624,-185062,,2562,-189034,-179105,,-5957,-5957,,,,,,,,,,
ALNT,TTM,548955,377264,171691,141055,30636,-13281,-449,16906,2406,14500,14500,0.88,0.87,16392.75,16559.25,30636,518319,14500,14500,,13281,-13281,30187,55547,364372,25360,14500,55547,0,,,,,,,,,,,,
ALNY,TTM,2094795,306411,1788384,1976514,-188130,-12846,-120128,-321104,11160,-332264,-332264,-2.62,-2.62,126775,126775,-188130,2282925,-332264,-232968.90,121379,134225,-12846,-186879,-85690,306411,101189,-332264,40000,0,-125690,-125690,-26394.90,155050,,,,,,,,
ALOT,TTM,150643,94820,55823,44884,10939,-2827,-362,7749,1417,6332,6332,0.85,0.84,7461.50,7606.50,10939,139704,6332,6654.77,,2827,-2827,10576,14914,94820,4338,6332,15309,0,-395,-395,-72.23,,,,,,,,,
ALRM,TTM,905181,320417,584764,498414,86350,32100,3827,122277,15831,107934,108820,2.16,2.01,49905.88,55347.93,86350,818831,107934,107934,36598,4498,32100,126775,169892,307608,43117,107934,169892,0,,,,,,,,,,,,
ALRN,TTM,,,,25523,-25523,,-42,-25165,,-25221,-25221,-3.10,-3.10,9414.2940,9414.2940,-25517,25523,-25221,-25427,,,,-25523,-25396,,127,-25221,-25602,,206,206,,,,,,,,,,
ALRS,TTM,170067,,,,,,,5631,2540,3180,3180,0.18,0.17,19765.25,20026,,,3091,3091,,,,,,,9020,3091,,0,,,,,,-7657,156779,,82656,,,
ALSA,TTM,,,,572.43,-572.43,4024.70,,3900.62,,3900.62,3900.62,-0.65,-0.65,3205,10829.92,-572.43,572.43,3900.62,3452.62,4024.70,,4024.70,-572.43,-572.43,,,3900.62,-1020.43,,448,448,,,,,,,,,,
ALSN,TTM,3204000,1677000,1527000,545000,982000,-92000,3000,893000,167000,726000,726000,8.34,8.19,87000,88750,982000,2222000,726000,726000,,92000,-92000,985000,1115000,1677000,130000,726000,1115000,0,,,,,,,,,,,,
ALT,TTM,409,,,97692,-97283,8410,-12473,-101346,,-101346,-101346,-1.63,-1.63,63473.37,63473.37,-109702,97692,-101346,-88927,8443,33,8410,-101313,-100914,,399,-101346,-88495,,-12419,-12419,,,,,,,,,,
ALTG,TTM,1917400,1405700,511700,476200,35500,-66600,-900,-32000,-13700,-21300,-21300,-0.64,-0.64,32886.80,33173.85,73300,1881900,-18300,-13007,,66600,-66600,34600,178100,1288200,143500,-18300,184800,0,-6700,-6700,-1407,,,,,,,,,
ALTI,TTM,241813,185378,56435,123666,-67231,-16737,-147020,-230988,-131,-113251,-113251,-2.04,-2.04,66797.8880,91847.0400,-67231,309044,-113251,62058.5205,,17560,-16737,-213428,-198181,185378,15247,-113251,-22772,0,-175409,-175409,-99.4795,14784,,,,,,,,
ALTM,TTM,900600,630600,270000,117500,152500,18800,72300,243600,66800,155100,155100,0.19,0.18,908983.20,978010.20,,748100,155100,147261.58,,,18800,141200,226700,630600,85500,155100,215900,0,10800,10800,2961.58,,,,,,,,,
ALTO,TTM,1068849,1062060,6789,30952,-24163,-7429,-5576,-37168,97,-38534,-38534,-0.53,-0.53,73100.5000,73100.5000,-33238,1093012,-37265,-32317.2300,,7429,-7429,-29739,-6592,1062060,23147,-37265,-329,0.0002,-6263,-6263,-1315.2300,,,,,,,,,
