ticker,date,total_revenue,cost_of_revenue,gross_profit,operating_expense,operating_income,net_non_operating_interest_income_expense,other_income_expense,pretax_income,tax_provision,net_income_common_stockholders,diluted_ni_available_to_com_stockholders,basic_eps,diluted_eps,basic_average_shares,diluted_average_shares,total_operating_income_as_reported,total_expenses,net_income_from_continuing_&_discontinued_operation,normalized_income,interest_income,interest_expense,net_interest_income,ebit,ebitda,reconciled_cost_of_revenue,reconciled_depreciation,net_income_from_continuing_operation_net_minority_interest,normalized_ebitda,tax_rate_for_calcs,total_unusual_items_excluding_goodwill,total_unusual_items,tax_effect_of_unusual_items,rent_expense_supplemental,average_dilution_earnings,credit_losses_provision,non_interest_expense,special_income_charges,interest_income_after_provision_for_loan_loss,total_money_market_investments,earnings_from_equity_interest_net_of_tax,income_from_associates_&_other_participating_interests
ANTX,TTM,,,,71171,-71171,,6514,-64657,,-64657,-64657,-2.18,-2.18,28776.1020,28776.1020,-71171,71171,-64657,-64657,,,,-71171,-71171,,,-64657,-71171,,,,,,,,,,,,,
ANVS,TTM,,,,40878.04,-40878.04,-1063.13,,-43017.37,,-43017.37,-43017.37,-4.54,-4.54,10218.72,10268.65,-40878.04,40878.04,-43017.37,-41941.17,282.93,,-1063.13,-40878.04,-40878.04,,,-43017.37,-39801.84,,-1076.20,-1076.20,,,,,,,,,,
ANY,TTM,25026,17664,7362,32020,-24658,375,6860,-17423,11,-17427,-17427,-1.28,-1.28,15614.5220,15614.5220,-29140,49684,-17427,-23258,385,10,375,-17413,-9986,17664,7427,-17427,-16846,0.0002,6860,6860,1029,,,,,,,,,
AON,TTM,14926000,7834000,7092000,3175000,3917000,-631000,-106000,3180000,687000,2436000,2436000,11.74,11.68,207325,208450,3523000,11009000,2436000,2523803.77,75000,706000,-631000,3886000,4407000,7834000,521000,2436000,4519000,0,-112000,-112000,-24196.23,318000,,,,,,,,
AORT,TTM,384899,136525,248374,208997,39377,-29288,-1592,8497,9348,-842,-842,-0.03,-0.03,41430,42190.50,39377,345522,-851,2047.51,1491,30779,-29288,39276,63002,136525,23726,-851,66671,0,-3669,-3669,-770.49,,,,,,,,,
AOS,TTM,3893800,2406000,1487800,742300,745500,-5400,-7300,732800,171600,561200,561200,3.82,3.79,146889.14,148001.80,,3148300,561200,563650.66,,5400,-5400,738200,818500,2406000,80300,561200,821700,0,-3200,-3200,-749.34,,,,,,,,,
AOSL,TTM,658528,493009,165519,178908,-13389,1410,-749,-12728,3551,-19363,-19363,-0.69,-0.69,28563.75,28563.75,-13389,671917,-19363,-19363,,,1410,-13389,41979,493009,55368,-19363,41979,0,,,,,,,,,,,-3084,
AOUT,TTM,199297,111664,87633,98619,-10986,199,184,-10603,-103,-10500,-10500,-0.81,-0.81,12885.75,12885.75,-10986,210283,-10500,-10500,4963,,199,-10986,4455,111664,15441,-10500,4455,0,,,,,,,,,,,,
AP,TTM,431529,356112,75417,64421,10996,-10805,-40251,-40060,-306,-41732,-41732,-2.14,-2.14,19762,19762,-34730,420533,-41732,-1879.7562,,10805,-10805,-29255,-10941,356112,18314,-41732,29218,0,-40159,-40159,-306.7562,,,,,,,,,
APA,TTM,9192000,4878000,4314000,1035000,3279000,-353000,-1351000,1575000,-982000,2223000,2223000,7.06,7.04,337250,338250,,5913000,2223000,3264220,11000,359000,-353000,1934000,3970000,4878000,2036000,2223000,5288000,0,-1318000,-1318000,-276780,,,,,,,,,
APAM,TTM,1063748,582506,481242,147346,333896,642,105931,440469,85532,232652,232652,3.60,3.60,64487.24,68624.13,333896,729852,254801,169033.97,9147,8505,642,448974,458927,582506,9953,254801,352492,0,106435,106435,20667.97,30435,,,,,,,,
APCX,TTM,462,97,365,12540,-12175,-44,-18,-12237,,-12237,-12237,-0.55,-0.55,21829.5070,21829.5070,-12175,12637,-12237,-12220,,44,-44,-12193,-11101,97,1092,-12237,-11084,,-17,-17,,,,,,,,,,
APD,TTM,12104400,8271500,3832900,995600,2837300,-217100,538900,3159100,560700,2570900,2570900,11.56,11.54,222450,222775,2780300,9267100,2570900,2610383.23,,217100,-217100,3376200,4803800,8271500,1427600,2563500,4860800,0,-57000,-57000,-10116.77,,,,,,,,,
APDN,TTM,3398.0490,2547.0730,850.9760,15775.3070,-14924.3310,126.1960,7407.9210,-7390.2140,,-7521.1290,-7521.1290,-7.50,-7.50,1542.8620,1542.8620,-14924.3310,18322.3800,-7288.0420,-14710.7770,126.1960,115.8300,126.1960,-14924.3310,-13975.2100,2547.0730,949.1210,-7288.0420,-21397.9450,,7422.7350,7422.7350,,,,,,,,,,
APEI,TTM,610969,292616,318353,285461,32892,-2494,-3158,27240,7033,4443,4443,0.19,0.19,17667.50,17920.50,,578077,10573,12915.65,,2494,-2494,29734,52201,292616,22467,10573,55359,0,-3158,-3158,-815.35,,,,,,,,-9634,
APG,TTM,6916000,4805000,2111000,1656000,455000,-143000,-15000,297000,89000,-432000,-442000,-1.74,-1.74,257734.62,257734.62,443000,6461000,208000,218505.05,,143000,-143000,440000,738000,4805000,298000,208000,753000,0,-15000,-15000,-4494.95,,,,,,,,,
APGE,TTM,,,,143763,-143763,25278,,-118485,,-118485,-118485,-2.09,-2.09,56676.47,56676.47,-143763,143763,-118485,-118485,25278,,25278,-134745,-134745,,,-118485,-134745,,,,,,,,,,,,,
APH,TTM,14232400,9473000,4759400,1734600,3024800,-185100,-72700,2767000,558300,2192200,2192200,1.82,1.75,1200950,1257700,2893200,11207600,2192200,2297246.95,,185100,-185100,2952100,3495800,9473000,543700,2192200,3627400,0,-131600,-131600,-26553.05,,,,,,,,,
APLD,TTM,189956,184179,5777,96632,-90855,-32007,-19106,-141968,96,-142108,-142108,-1.23,-1.23,126183.33,126183.33,-82172,280811,-142064,-148801.91,,32007,-32007,-109961,-4145,184179,105816,-142064,-12674,0,8529,8529,1791.09,,,,,,,,,
APLM,TTM,,,,54370,-54370,603,-118824,-172591,10,-172601,-172601,-2.32,-2.32,74411,74411,,54370,-172601,-174190.4800,753,150,603,-172441,-171772,,669,-172601,-173784,0.0002,2012,2012,422.5200,,,,,,,,,
APLS,TTM,715216,96779,618437,841770,-223333,-22334,-2135,-247802,2299,-250101,-250101,-2.03,-2.03,123081.25,123081.25,-223333,938549,-250101,-248561.29,13925,36259,-22334,-211543,-209710,96779,1833,-250101,-207761,0,-1949,-1949,-409.29,,,,,,,,,
APLT,TTM,-333,,,77701,-78034,1959,-85014,-161089,,-161089,-161089,-1.43,-1.43,117677.21,117677.21,-78034,77701,-161089,-76191,1959,,1959,-78034,-77668,,366,-161089,7230,,-84898,-84898,,,,,,,,,,
