ticker,first_trade_date,long_name,short_name,sector,industry,address,website
ENPH,1333114200,"Enphase Energy, Inc.","Enphase Energy, Inc.",Technology,Solar,"47281 Bayside Parkway Fremont, CA 94538 United States",https://www.enphase.com
ENR,1434115800,"Energizer Holdings, Inc.","Energizer Holdings, Inc.",Industrials,Electrical Equipment & Parts,"533 Maryville University Drive Saint Louis, MO 63141 United States",https://www.energizerholdings.com
ENS,1091453400,EnerSys,EnerSys,Industrials,Electrical Equipment & Parts,"2366 Bernville Road Reading, PA 19605 United States",https://www.enersys.com
ENSC,1521034200,"Ensysce Biosciences, Inc.","Ensysce Biosciences, Inc.",Healthcare,Biotechnology,"7946 Ivanhoe Avenue Suite 201 La Jolla, CA 92037 United States",https://www.ensysce.com
ENSG,1194618600,"The Ensign Group, Inc.","The Ensign Group, Inc.",Healthcare,Medical Care Facilities,"29222 Rancho Viejo Road Suite 127 San Juan Capistrano, CA 92675 United States",https://ensigngroup.net
ENTA,1363872600,"Enanta Pharmaceuticals, Inc.","Enanta Pharmaceuticals, Inc.",Healthcare,Biotechnology,"500 Arsenal Street Watertown, MA 02472 United States",https://www.enanta.com
ENTG,963322200,"Entegris, Inc.","Entegris, Inc.",Technology,Semiconductor Equipment & Materials,"129 Concord Road Billerica, MA 01821 United States",https://www.entegris.com
ENTO,1476192600,"Entero Therapeutics, Inc.",Entero Therapeutics Inc.,Healthcare,Biotechnology,"777 Yamato Road Suite 502 Boca Raton, FL 33431 United States",https://www.enterothera.com
ENTX,1530192600,Entera Bio Ltd.,Entera Bio Ltd.,Healthcare,Biotechnology,"Kiryat Hadassah Minrav Building Fifth Floor Jerusalem, 9112002 Israel",https://www.enterabio.com
ENV,1280410200,"Envestnet, Inc.","Envestnet, Inc",Technology,Software - Application,"1000 Chesterbrook Boulevard Suite 250 Berwyn, PA 19312 United States",https://www.envestnet.com
ENVA,1415889000,"Enova International, Inc.","Enova International, Inc.",Financial Services,Credit Services,"175 West Jackson Boulevard Suite 1000 Chicago, IL 60604 United States",https://www.enova.com
ENVB,1430746200,"Enveric Biosciences, Inc.","Enveric Biosciences, Inc.",Healthcare,Biotechnology,"4851 Tamiami Trail N Suite 200 Naples, FL 34103 United States",https://www.enveric.com
ENVX,1609857000,Enovix Corporation,Enovix Corporation,Industrials,Electrical Equipment & Parts,"3501 West Warren Avenue Fremont, CA 94538 United States",https://www.enovix.com
ENZ,329664600,"Enzo Biochem, Inc.","Enzo Biochem, Inc.",Healthcare,Diagnostics & Research,"21 Executive Blvd Farmingdale, NY 11735 United States",https://www.enzo.com
EOG,623511000,"EOG Resources, Inc.","EOG Resources, Inc.",Energy,Oil & Gas E&P,"1111 Bagby Street Sky Lobby 2 Houston, TX 77002 United States",https://www.eogresources.com
EOLS,1518100200,"Evolus, Inc.","Evolus, Inc. Common Stock",Healthcare,Drug Manufacturers - Specialty & Generic,"520 Newport Center Drive Suite 1200 Newport Beach, CA 92660 United States",https://www.evolus.com
EONR,1649251800,EON Resources Inc.,EON Resources Inc.,Energy,Oil & Gas E&P,"3730 Kirby Drive Suite 1200 Houston, TX 77098 United States",https://www.eon-r.com
EOSE,1604327400,"Eos Energy Enterprises, Inc.","Eos Energy Enterprises, Inc.",Industrials,Electrical Equipment & Parts,"3920 Park Avenue Edison, NJ 08820 United States",https://www.eose.com
EP,941031000,Empire Petroleum Corporation,Empire Petroleum Corporation,Energy,Oil & Gas E&P,"2200 South Utica Place Suite 150 Tulsa, OK 74114 United States",https://empirepetroleumcorp.com
EPAC,964445400,Enerpac Tool Group Corp.,Enerpac Tool Group Corp.,Industrials,Specialty Industrial Machinery,"N86 W12500 Westbrook Crossing Menomonee Falls, WI 53051 United States",https://www.enerpactoolgroup.com
EPAM,1328711400,"EPAM Systems, Inc.","EPAM Systems, Inc.",Technology,Information Technology Services,"41 University Drive Suite 202 Newtown, PA 18940 United States",https://www.epam.com
EPC,954167400,Edgewell Personal Care Company,Edgewell Personal Care Company,Consumer Defensive,Household & Personal Products,"6 Research Drive Shelton, CT 06484 United States",https://edgewell.com
EPIX,1426253400,ESSA Pharma Inc.,ESSA Pharma Inc.,Healthcare,Biotechnology,"999 West Broadway Suite 720 Vancouver, BC V5Z 1K5 Canada",https://www.essapharma.com
EPM,829229400,Evolution Petroleum Corporation,Evolution Petroleum Corporation,Energy,Oil & Gas E&P,"1155 Dairy Ashford Road Suite 425 Houston, TX 77079 United States",https://www.evolutionpetroleum.com
EPOW,1612881000,"Sunrise New Energy Co., Ltd.","Sunrise New Energy Co., Ltd",Industrials,Electrical Equipment & Parts,"R&D Building, Room 703, West Zone Zibo Science and Technology Industrial Entrepreneurship Park No. 69 Sanying Road Zhangdian District Zibo China",https://www.sunrisenewenergy.com
EPRX,1712323800,Eupraxia Pharmaceuticals Inc.,Eupraxia Pharmaceuticals Inc.,Healthcare,Biotechnology,"2067 Cadboro Bay Road Suite 201 Victoria, BC V8R 5G4 Canada",https://www.eupraxiapharma.com
EPSN,1195137000,Epsilon Energy Ltd.,Epsilon Energy Ltd.,Energy,Oil & Gas E&P,"14505 Bannister Rd SE Suite 300 Calgary, AB T2X 3J3 Canada",https://www.epsilonenergyltd.com
EQ,1539351000,"Equillium, Inc.","Equillium, Inc.",Healthcare,Biotechnology,"2223 Avenida De La Playa Suite 105 La Jolla, CA 92037 United States",https://www.equilliumbio.com
EQBK,1447252200,"Equity Bancshares, Inc.","Equity Bancshares, Inc.",Financial Services,Banks - Regional,"7701 East Kellogg Drive Suite 300 Wichita, KS 67207 United States",https://www.equitybank.com
EQH,1525959000,"Equitable Holdings, Inc.","Equitable Holdings, Inc.",Financial Services,Insurance - Diversified,"1345 Avenue Of The Americas New York, NY 10105 United States",https://www.equitableholdings.com
EQS,716218200,"Equus Total Return, Inc.","Equus Total Return, Inc.",Financial Services,Asset Management,"700 Louisiana Street 48th Floor Houston, TX 77002 United States",https://www.equuscap.com
EQT,322151400,EQT Corporation,EQT Corporation,Energy,Oil & Gas E&P,"EQT Plaza 625 Liberty Avenue Suite 1700 Pittsburgh, PA 15222-3111 United States",https://www.eqt.com
EQX,1546439400,Equinox Gold Corp.,Equinox Gold Corp.,Basic Materials,Gold,"700 West Pender Street Suite 1501 Vancouver, BC V6C 1G8 Canada",https://www.equinoxgold.com
